Keyword,Tweet_Count,Non_Antisemitic_Count,False_Positive_Count,False_Positive_Rate,Model
ZioNazi,529,62,53,0.8548387096774194,IHRA_7B
Kikes,283,186,94,0.5053763440860215,IHRA_7B
Jews,4605,4122,1726,0.41872877244056284,IHRA_7B
Israel,1524,1321,127,0.09613928841786526,IHRA_7B
ZioNazi,529,62,62,1.0,IHRA_8B
Kikes,283,186,182,0.978494623655914,IHRA_8B
Jews,4605,4122,2596,0.6297913634158175,IHRA_8B
Israel,1524,1321,325,0.24602573807721423,IHRA_8B
ZioNazi,529,62,39,0.6290322580645161,JDA_7B
Kikes,283,186,76,0.40860215053763443,JDA_7B
Jews,4605,4122,1483,0.3597768073750606,JDA_7B
Israel,1524,1321,124,0.09386828160484481,JDA_7B
ZioNazi,529,62,61,0.9838709677419355,JDA_8B
Kikes,283,186,179,0.9623655913978495,JDA_8B
Jews,4605,4122,2547,0.6179039301310044,JDA_8B
Israel,1524,1321,281,0.21271763815291445,JDA_8B
